edge_id,slope
EDGE_000132,0.022545
EDGE_000133,-0.026082
EDGE_000134,-0.002519
EDGE_000135,-0.006474
EDGE_000136,-0.003191
EDGE_000137,0.027528
EDGE_000138,0.004421
EDGE_000139,0.015549
EDGE_000140,-0.011062
EDGE_000141,-0.006371
EDGE_000142,-0.001542
EDGE_000143,0.005268
EDGE_000144,0.001582
EDGE_000145,0.002587
EDGE_000146,0.001978
EDGE_000147,0.031169
EDGE_000148,-0.015444
EDGE_000149,-0.012382
EDGE_000150,0.007451
EDGE_000151,-0.068632
EDGE_000152,0.046296
EDGE_000153,0.121303
EDGE_000154,-0.046296
EDGE_000155,0.000000
EDGE_000156,0.000283
EDGE_000157,-0.003559
EDGE_000158,-0.006545
EDGE_000159,-0.007164
EDGE_000160,0.002240
EDGE_000161,-0.001794
EDGE_000162,0.001270
EDGE_000163,-0.001582
EDGE_000164,0.002189
EDGE_000165,-0.008387
EDGE_000166,0.056965
EDGE_000167,0.002352
EDGE_000168,
EDGE_000169,0.017025
EDGE_000170,-0.001769
EDGE_000171,0.056765
EDGE_000172,
EDGE_000173,
EDGE_000174,
EDGE_000175,
EDGE_000176,
EDGE_000177,
EDGE_000178,
EDGE_000179,
EDGE_000180,
EDGE_000181,
EDGE_000182,
EDGE_000183,
EDGE_000184,
EDGE_000185,
EDGE_000186,
EDGE_000187,
EDGE_000188,
EDGE_000189,
EDGE_000190,
EDGE_000191,0.016343
EDGE_000192,0.061850
EDGE_000193,-0.026732
EDGE_000194,-0.000467
EDGE_000195,-0.050125
EDGE_000196,-0.061850
EDGE_000197,0.059420
EDGE_000198,-0.024877
EDGE_000199,0.027579
EDGE_000200,0.026850
EDGE_000201,-0.002739
EDGE_000202,0.001586
EDGE_000203,0.015788
EDGE_000204,0.013971
EDGE_000205,-0.012258
EDGE_000206,0.009943
EDGE_000207,-0.013971
EDGE_000208,0.010910
EDGE_000209,-0.011049
EDGE_000210,-0.002585
EDGE_000211,-0.020979
EDGE_000212,0.053800
EDGE_000213,-0.021236
EDGE_000214,0.233821
EDGE_000215,-0.032323
EDGE_000216,-0.021838
EDGE_000217,-0.053800
EDGE_000218,-0.233821
EDGE_000219,-0.024609
EDGE_000220,-0.038323
EDGE_000221,-0.014835
EDGE_000222,-0.033115
EDGE_000223,-0.020136
EDGE_000224,0.021809
EDGE_000225,0.005607
EDGE_000226,0.014872
EDGE_000227,-0.003668
EDGE_000228,0.002923
EDGE_000229,-0.003183
EDGE_000230,
EDGE_000231,
EDGE_000232,
EDGE_000233,
EDGE_000234,
EDGE_000235,
EDGE_000236,
EDGE_000237,
EDGE_000238,
EDGE_000239,
EDGE_000240,0.007869
EDGE_000241,-0.024339
EDGE_000242,-0.025185
EDGE_000243,0.040613
EDGE_000244,0.021450
EDGE_000245,-0.024295
EDGE_000246,-0.026429
EDGE_000247,-0.027191
EDGE_000248,0.021730
EDGE_000249,0.038036
EDGE_000250,0.018307
EDGE_000251,0.001339
EDGE_000252,-0.045147
EDGE_000253,0.013576
EDGE_000254,-0.007190
EDGE_000255,0.045147
EDGE_000256,-0.008600
EDGE_000257,0.005106
EDGE_000258,0.000238
EDGE_000259,0.006483
EDGE_000260,0.001174
EDGE_000261,-0.001587
EDGE_000262,0.000806
EDGE_000263,-0.000719
EDGE_000264,-0.017691
EDGE_000265,0.001388
EDGE_000266,-0.000557
EDGE_000267,0.000767
EDGE_000268,0.000495
EDGE_000269,0.004024
EDGE_000270,0.000000
EDGE_000271,0.000000
EDGE_000272,-0.000686
EDGE_000273,0.002644
EDGE_000274,0.002371
EDGE_000275,0.006965
EDGE_000276,-0.091087
EDGE_000277,-0.191981
EDGE_000278,
EDGE_000279,
EDGE_000280,
EDGE_000281,
EDGE_000282,
EDGE_000283,
EDGE_000284,
EDGE_000285,
EDGE_000286,
EDGE_000287,
EDGE_000288,
EDGE_000289,
EDGE_000290,
EDGE_000291,0.036478
EDGE_000292,0.037035
EDGE_000293,-0.051335
EDGE_000294,0.020693
EDGE_000295,0.011108
EDGE_000296,0.006605
EDGE_000297,-0.003137
EDGE_000298,0.018274
EDGE_000299,0.010413
EDGE_000300,-0.000448
EDGE_000301,0.011522
EDGE_000302,-0.006526
EDGE_000303,-0.001382
EDGE_000304,-0.010420
EDGE_000305,0.031498
EDGE_000306,-0.080576
EDGE_000307,0.044383
EDGE_000308,-0.032600
EDGE_000309,0.000000
EDGE_000310,-0.078940
EDGE_000311,0.000000
EDGE_000312,-0.021828
EDGE_000313,0.000000
EDGE_000314,0.037708
EDGE_000315,-0.035001
EDGE_000316,0.030168
EDGE_000317,0.043936
EDGE_000318,-0.015925
EDGE_000319,0.024486
EDGE_000320,-0.011365
EDGE_000321,-0.021056
EDGE_000322,0.000207
EDGE_000323,0.000312
EDGE_000324,0.004150
EDGE_000325,0.000001
EDGE_000326,-0.000552
EDGE_000327,-0.004060
EDGE_000328,-0.020081
EDGE_000329,-0.000658
EDGE_000330,0.018757
EDGE_000331,-0.008938
EDGE_000332,-0.003851
EDGE_000333,0.005047
EDGE_000334,-0.058942
EDGE_000335,0.003851
EDGE_000336,0.007270
EDGE_000337,-0.000627
EDGE_000338,-0.007402
EDGE_000339,0.007211
EDGE_000340,-0.007270
EDGE_000341,-0.001764
EDGE_000342,0.006636
EDGE_000343,-0.002694
EDGE_000344,-0.006697
EDGE_000345,0.002927
EDGE_000346,0.007309
EDGE_000347,-0.006314
EDGE_000348,0.002706
EDGE_000349,-0.002285
EDGE_000350,0.000000
EDGE_000351,0.000000
EDGE_000352,-0.005042
EDGE_000353,0.000000
EDGE_000354,-0.005755
EDGE_000355,-0.008039
EDGE_000356,-0.016440
EDGE_000357,-0.003936
EDGE_000358,0.008598
EDGE_000359,-0.002380
EDGE_000360,0.003203
EDGE_000361,0.005109
EDGE_000362,0.004069
EDGE_000363,0.002502
EDGE_000364,-0.002289
EDGE_000365,-0.017873
EDGE_000366,0.035041
EDGE_000367,-0.029100
EDGE_000368,0.055296
EDGE_000369,-0.029714
EDGE_000370,0.038269
EDGE_000371,-0.014850
EDGE_000372,-0.029901
EDGE_000373,0.001359
EDGE_000374,0.000517
EDGE_000375,-0.005531
EDGE_000376,0.010113
EDGE_000377,-0.001037
EDGE_000378,-0.015126
EDGE_000379,-0.011144
EDGE_000380,0.012208
EDGE_000381,-0.010129
EDGE_000382,-0.000537
EDGE_000383,0.007108
EDGE_000384,-0.000207
EDGE_000385,0.000000
EDGE_000386,0.000000
EDGE_000387,0.000706
EDGE_000388,0.026055
EDGE_000389,0.000000
EDGE_000390,0.001617
EDGE_000391,-0.002357
EDGE_000392,-0.001872
EDGE_000393,0.016529
EDGE_000394,0.024675
EDGE_000395,-0.012211
EDGE_000396,0.123246
EDGE_000397,0.066318
EDGE_000398,-0.009945
EDGE_000399,0.030235
EDGE_000400,-0.011353
EDGE_000401,0.022587
EDGE_000402,0.001799
EDGE_000403,0.033067
EDGE_000404,0.009345
EDGE_000405,-0.008775
EDGE_000406,0.009809
EDGE_000407,-0.008792
EDGE_000408,-0.004080
EDGE_000409,0.007803
EDGE_000410,-0.008633
EDGE_000411,-0.005210
EDGE_000412,0.036482
EDGE_000413,-0.005693
EDGE_000414,0.016539
EDGE_000415,0.003086
EDGE_000416,-0.022274
EDGE_000417,0.018320
EDGE_000418,0.002372
EDGE_000419,-0.003210
EDGE_000420,-0.001599
EDGE_000421,0.001597
EDGE_000422,-0.007240
EDGE_000423,-0.001520
EDGE_000424,0.004382
EDGE_000425,-0.006627
EDGE_000426,0.006905
EDGE_000427,0.003273
EDGE_000428,-0.008722
EDGE_000429,0.015971
EDGE_000430,0.004654
EDGE_000431,0.049748
EDGE_000432,0.025904
EDGE_000433,0.021569
EDGE_000434,0.027196
EDGE_000435,-0.007160
EDGE_000436,-0.026420
EDGE_000437,-0.006416
EDGE_000438,0.042034
EDGE_000439,0.021115
EDGE_000440,0.004423
EDGE_000441,-0.015105
EDGE_000442,0.010539
EDGE_000443,-0.013465
EDGE_000444,-0.028060
EDGE_000445,0.013465
EDGE_000446,0.024881
EDGE_000447,-0.055416
EDGE_000448,0.037326
EDGE_000449,0.028060
EDGE_000450,0.001319
EDGE_000451,-0.000930
EDGE_000452,-0.001783
EDGE_000453,0.004125
EDGE_000454,0.000100
EDGE_000455,0.000169
EDGE_000456,0.008670
EDGE_000457,0.002164
EDGE_000458,-0.002576
EDGE_000459,0.021698
EDGE_000460,0.007688
EDGE_000461,-0.002164
EDGE_000462,-0.014819
EDGE_000463,-0.002457
EDGE_000464,0.000739
EDGE_000465,0.007251
EDGE_000466,0.002457
EDGE_000467,-0.049234
EDGE_000468,-0.019445
EDGE_000469,0.004158
EDGE_000470,-0.028777
EDGE_000471,-0.059162
EDGE_000472,-0.036587
EDGE_000473,0.023468
EDGE_000474,-0.042292
EDGE_000475,0.004388
EDGE_000476,0.003324
EDGE_000477,0.004799
EDGE_000478,0.023155
EDGE_000479,0.024821
EDGE_000480,-0.024013
EDGE_000481,-0.028113
EDGE_000482,0.047624
EDGE_000483,-0.046961
EDGE_000484,-0.021446
EDGE_000485,0.023031
EDGE_000486,0.010928
EDGE_000487,-0.010172
EDGE_000488,-0.046057
EDGE_000489,0.015497
EDGE_000490,-0.079972
EDGE_000491,0.046057
EDGE_000492,0.062726
EDGE_000493,0.079972
EDGE_000494,-0.066318
EDGE_000495,-0.126741
EDGE_000496,0.002454
EDGE_000497,0.000632
EDGE_000498,-0.005572
EDGE_000499,-0.024049
EDGE_000500,0.022860
EDGE_000501,-0.000642
EDGE_000502,0.024049
EDGE_000503,0.029112
EDGE_000504,-0.018620
EDGE_000505,-0.032614
EDGE_000506,0.032690
EDGE_000507,-0.024168
EDGE_000508,0.040100
EDGE_000509,0.000000
EDGE_000510,-0.005213
EDGE_000511,0.000000
EDGE_000512,-0.000005
EDGE_000513,-0.000033
EDGE_000514,-0.062002
EDGE_000515,0.167101
EDGE_000516,-0.021814
EDGE_000517,-0.004826
EDGE_000518,0.024168
EDGE_000519,-0.008864
EDGE_000520,0.020053
EDGE_000521,0.019439
EDGE_000522,0.022783
EDGE_000523,0.020017
EDGE_000524,0.000752
EDGE_000525,-0.001966
EDGE_000526,0.046959
EDGE_000527,0.016426
EDGE_000528,0.017429
EDGE_000529,0.000434
EDGE_000530,-0.014653
EDGE_000531,0.003500
EDGE_000532,0.002415
EDGE_000533,-0.000739
EDGE_000534,0.012214
EDGE_000535,0.003709
EDGE_000536,-0.031984
EDGE_000537,-0.011653
EDGE_000538,0.003127
EDGE_000539,0.003053
EDGE_000540,-0.071436
EDGE_000541,0.023462
EDGE_000542,-0.007526
EDGE_000543,-0.032794
EDGE_000544,0.022213
EDGE_000545,0.000000
EDGE_000546,0.000000
EDGE_000547,0.003334
EDGE_000548,-0.001843
EDGE_000549,0.012912
EDGE_000550,-0.004771
EDGE_000551,-0.007669
EDGE_000552,0.002959
EDGE_000553,-0.009338
EDGE_000554,-0.014366
EDGE_000555,0.012823
EDGE_000556,0.002229
EDGE_000557,0.015743
EDGE_000558,-0.016401
EDGE_000559,-0.000569
EDGE_000560,-0.002229
EDGE_000561,0.001510
EDGE_000562,0.001911
EDGE_000563,0.000569
EDGE_000564,0.029894
EDGE_000565,-0.008659
EDGE_000566,-0.002634
EDGE_000567,0.002277
EDGE_000568,-0.022637
EDGE_000569,0.018744
EDGE_000570,-0.058295
EDGE_000571,0.072130
EDGE_000572,-0.003128
EDGE_000573,-0.007703
EDGE_000574,0.007243
EDGE_000575,0.047110
EDGE_000576,0.028070
EDGE_000577,-0.046011
EDGE_000578,-0.041890
EDGE_000579,0.006131
EDGE_000580,-0.013098
EDGE_000581,-0.012479
EDGE_000582,-0.007321
EDGE_000583,0.017825
EDGE_000584,-0.007192
EDGE_000585,0.009885
EDGE_000586,0.033332
EDGE_000587,0.002219
EDGE_000588,-0.009885
EDGE_000589,0.000123
EDGE_000590,0.028849
EDGE_000591,-0.000795
EDGE_000592,-0.013572
EDGE_000593,0.064300
EDGE_000594,-0.034565
EDGE_000595,0.013572
EDGE_000596,0.014955
EDGE_000597,-0.036983
EDGE_000598,-0.011068
EDGE_000599,0.068782
EDGE_000600,0.024916
EDGE_000601,-0.032418
EDGE_000602,-0.127517
EDGE_000603,-0.081602
EDGE_000604,0.086794
EDGE_000605,0.017276
EDGE_000606,-0.013603
EDGE_000607,0.014374
EDGE_000608,0.008321
EDGE_000609,-0.045027
EDGE_000610,-0.033609
EDGE_000611,-0.031160
EDGE_000612,0.045027
EDGE_000613,0.031160
EDGE_000614,-0.030489
EDGE_000615,0.032395
EDGE_000616,-0.019507
EDGE_000617,0.055862
EDGE_000618,0.033609
EDGE_000619,0.019507
EDGE_000620,-0.028849
EDGE_000621,-0.096578
EDGE_000622,0.011952
EDGE_000623,-0.038297
EDGE_000624,0.067464
EDGE_000625,0.028346
EDGE_000626,-0.010684
EDGE_000627,-0.012393
EDGE_000628,0.003403
EDGE_000629,-0.002530
EDGE_000630,0.012393
EDGE_000631,0.031388
EDGE_000632,-0.028346
EDGE_000633,0.001069
EDGE_000634,-0.013313
EDGE_000635,0.004659
EDGE_000636,-0.002906
EDGE_000637,-0.001069
EDGE_000638,0.001508
EDGE_000639,0.002778
EDGE_000640,0.002906
EDGE_000641,-0.020683
EDGE_000642,-0.004659
EDGE_000643,0.016854
EDGE_000644,0.000000
EDGE_000645,0.013313
EDGE_000646,0.009238
EDGE_000647,-0.073176
EDGE_000648,0.000000
EDGE_000649,-0.002778
EDGE_000650,0.000000
EDGE_000651,0.057613
EDGE_000652,0.000000
EDGE_000653,-0.000025
EDGE_000654,-0.057613
EDGE_000655,0.059502
EDGE_000656,-0.118897
EDGE_000657,-0.010353
EDGE_000658,-0.001396
EDGE_000659,-0.003100
EDGE_000660,-0.010758
EDGE_000661,0.010353
EDGE_000662,0.001396
EDGE_000663,-0.062325
EDGE_000664,0.010758
EDGE_000665,-0.061226
EDGE_000666,0.062325
EDGE_000667,0.000025
EDGE_000668,-0.009238
EDGE_000669,0.107283
EDGE_000670,0.000795
EDGE_000671,-0.008441
EDGE_000672,0.070287
EDGE_000673,-0.107283
EDGE_000674,-0.060752
EDGE_000675,-0.070287
EDGE_000676,-0.094230
EDGE_000677,0.350591
EDGE_000678,0.006092
EDGE_000679,0.032813
EDGE_000680,0.007970
EDGE_000681,-0.032964
EDGE_000682,0.060752
EDGE_000683,0.071007
EDGE_000684,-0.020205
EDGE_000685,0.023664
EDGE_000686,-0.023664
EDGE_000687,0.028339
EDGE_000688,0.010684
EDGE_000689,0.002530
EDGE_000690,-0.028339
EDGE_000691,-0.022992
EDGE_000692,-0.071007
EDGE_000693,0.038297
EDGE_000694,-0.015560
EDGE_000695,-0.082806
EDGE_000696,-0.109361
EDGE_000697,-0.020908
EDGE_000698,0.148011
EDGE_000699,-0.029829
EDGE_000700,0.136599
EDGE_000701,-0.010271
EDGE_000702,0.029829
EDGE_000703,-0.034762
EDGE_000704,0.065754
EDGE_000705,0.010271
EDGE_000706,-0.036439
EDGE_000707,-0.065754
EDGE_000708,0.020908
EDGE_000709,-0.066484
EDGE_000710,-0.052214
EDGE_000711,0.066484
EDGE_000712,-0.059502
EDGE_000713,0.052214
EDGE_000714,0.036439
EDGE_000715,-0.128007
EDGE_000716,-0.018463
EDGE_000717,-0.009587
EDGE_000718,0.009995
EDGE_000719,0.000000
EDGE_000720,0.128007
EDGE_000721,-0.001508
EDGE_000722,0.073176
EDGE_000723,-0.003403
EDGE_000724,0.014424
EDGE_000725,0.045235
EDGE_000726,-0.011952
EDGE_000727,-0.035137
EDGE_000728,0.094230
EDGE_000729,0.056109
EDGE_000730,0.011471
EDGE_000731,0.011363
EDGE_000732,0.014705
EDGE_000733,-0.001091
EDGE_000734,-0.001064
EDGE_000735,0.007949
EDGE_000736,-0.001033
EDGE_000737,0.009168
EDGE_000738,0.003496
EDGE_000739,-0.010808
EDGE_000740,-0.009542
EDGE_000741,0.004358
EDGE_000742,-0.003496
EDGE_000743,0.013986
EDGE_000744,0.017950
EDGE_000745,-0.008765
EDGE_000746,0.007561
EDGE_000747,0.004054
EDGE_000748,0.008765
EDGE_000749,0.001353
EDGE_000750,0.009542
EDGE_000751,0.009299
EDGE_000752,-0.007310
EDGE_000753,-0.007561
EDGE_000754,-0.009299
EDGE_000755,0.008627
EDGE_000756,-0.013986
EDGE_000757,0.013073
EDGE_000758,0.012504
EDGE_000759,-0.004054
EDGE_000760,0.013994
EDGE_000761,0.009595
EDGE_000762,-0.015418
EDGE_000763,-0.012504
EDGE_000764,0.005002
EDGE_000765,-0.008627
EDGE_000766,-0.013994
EDGE_000767,0.001186
EDGE_000768,-0.016355
EDGE_000769,0.000303
EDGE_000770,0.010974
EDGE_000771,-0.010763
EDGE_000772,-0.005002
EDGE_000773,-0.016027
EDGE_000774,-0.060281
EDGE_000775,-0.000780
EDGE_000776,-0.025416
EDGE_000777,0.046686
EDGE_000778,0.001909
EDGE_000779,-0.028519
EDGE_000780,0.025416
EDGE_000781,0.009408
EDGE_000782,-0.020491
EDGE_000783,0.028519
EDGE_000784,0.013651
EDGE_000785,0.038284
EDGE_000786,0.020491
EDGE_000787,0.024797
EDGE_000788,0.013843
EDGE_000789,-0.012401
EDGE_000790,0.000281
EDGE_000791,0.058074
EDGE_000792,-0.015319
EDGE_000793,0.025085
EDGE_000794,-0.026921
EDGE_000795,-0.008249
EDGE_000796,0.000000
EDGE_000797,0.000000
EDGE_000798,-0.009408
EDGE_000799,-0.152587
EDGE_000800,0.035351
EDGE_000801,-0.034659
EDGE_000802,0.020283
EDGE_000803,-0.013843
EDGE_000804,0.007876
EDGE_000805,-0.020283
EDGE_000806,-0.013651
EDGE_000807,0.042837
EDGE_000808,0.000049
EDGE_000809,-0.042837
EDGE_000810,-0.019652
EDGE_000811,-0.000049
EDGE_000812,-0.046686
EDGE_000813,0.072528
EDGE_000814,0.119436
EDGE_000815,-0.041309
EDGE_000816,-0.071258
EDGE_000817,0.009252
EDGE_000818,-0.072528
EDGE_000819,0.071258
EDGE_000820,0.135606
EDGE_000821,0.041309
EDGE_000822,-0.136115
EDGE_000823,-0.099184
EDGE_000824,0.034580
EDGE_000825,0.099395
EDGE_000826,0.000000
EDGE_000827,-0.007437
EDGE_000828,0.013117
EDGE_000829,0.136115
EDGE_000830,-0.099395
EDGE_000831,0.059180
EDGE_000832,0.094209
EDGE_000833,0.021788
EDGE_000834,0.095754
EDGE_000835,-0.024797
EDGE_000836,-0.009930
EDGE_000837,-0.085823
EDGE_000838,-0.029808
EDGE_000839,0.029063
EDGE_000840,0.085823
EDGE_000841,0.018195
EDGE_000842,-0.070538
EDGE_000843,-0.092216
EDGE_000844,-0.029063
EDGE_000845,0.029838
EDGE_000846,0.092216
EDGE_000847,0.078618
EDGE_000848,-0.018195
EDGE_000849,-0.097455
EDGE_000850,-0.029838
EDGE_000851,0.016939
EDGE_000852,0.097455
EDGE_000853,0.002311
EDGE_000854,0.186077
EDGE_000855,0.083941
EDGE_000856,-0.122890
EDGE_000857,0.004288
EDGE_000858,-0.083941
EDGE_000859,-0.028418
EDGE_000860,0.029808
EDGE_000861,0.027726
EDGE_000862,-0.004288
EDGE_000863,-0.096962
EDGE_000864,0.039540
EDGE_000865,0.000000
EDGE_000866,0.028418
EDGE_000867,-0.039540
EDGE_000868,0.041429
EDGE_000869,0.032535
EDGE_000870,-0.119436
EDGE_000871,-0.041429
EDGE_000872,0.058052
EDGE_000873,0.034659
EDGE_000874,-0.063302
EDGE_000875,-0.035351
EDGE_000876,0.091060
EDGE_000877,-0.097701
EDGE_000878,0.096498
EDGE_000879,-0.012943
EDGE_000880,-0.025777
EDGE_000881,0.027587
EDGE_000882,-0.021650
EDGE_000883,-0.016939
EDGE_000884,-0.079197
EDGE_000885,-0.022217
EDGE_000886,-0.026344
EDGE_000887,0.000000
EDGE_000888,0.000000
EDGE_000889,0.000000
EDGE_000890,-0.092524
EDGE_000891,0.026344
EDGE_000892,-0.017137
EDGE_000893,-0.003916
EDGE_000894,0.092524
EDGE_000895,-0.009061
EDGE_000896,0.022800
EDGE_000897,-0.027726
EDGE_000898,0.000000
EDGE_000899,-0.035367
EDGE_000900,-0.027649
EDGE_000901,0.000000
EDGE_000902,0.000000
EDGE_000903,0.027649
EDGE_000904,0.003916
EDGE_000905,-0.054632
EDGE_000906,-0.068770
EDGE_000907,-0.036849
EDGE_000908,0.035367
EDGE_000909,-0.091060
EDGE_000910,-0.058052
EDGE_000911,0.036849
EDGE_000912,0.054632
EDGE_000913,-0.014364
EDGE_000914,-0.004155
EDGE_000915,0.000000
EDGE_000916,-0.090834
EDGE_000917,0.014364
EDGE_000918,-0.097613
EDGE_000919,-0.105698
EDGE_000920,0.090834
EDGE_000921,0.017137
EDGE_000922,0.105698
EDGE_000923,-0.033430
EDGE_000924,0.009061
EDGE_000925,-0.038035
EDGE_000926,-0.084400
EDGE_000927,0.108625
EDGE_000928,0.038035
EDGE_000929,-0.073687
EDGE_000930,0.026639
EDGE_000931,-0.042830
EDGE_000932,-0.046670
EDGE_000933,0.056272
EDGE_000934,-0.026677
EDGE_000935,0.050512
EDGE_000936,-0.011933
EDGE_000937,0.051461
EDGE_000938,-0.036926
EDGE_000939,-0.009245
EDGE_000940,0.051360
EDGE_000941,0.036926
EDGE_000942,0.025777
EDGE_000943,-0.025788
EDGE_000944,0.000000
EDGE_000945,0.000000
EDGE_000946,0.085244
EDGE_000947,-0.061211
EDGE_000948,0.000707
EDGE_000949,0.077686
EDGE_000950,-0.026639
EDGE_000951,0.061211
EDGE_000952,-0.018520
EDGE_000953,-0.096035
EDGE_000954,0.004155
EDGE_000955,-0.059951
EDGE_000956,-0.108625
EDGE_000957,0.096035
EDGE_000958,-0.065839
EDGE_000959,-0.077686
EDGE_000960,0.065839
EDGE_000961,0.110143
EDGE_000962,-0.085244
EDGE_000963,0.059951
EDGE_000964,-0.110143
EDGE_000965,0.097613
EDGE_000966,0.018558
EDGE_000967,-0.013178
EDGE_000968,0.017930
EDGE_000969,0.003125
EDGE_000970,-0.021787
EDGE_000971,-0.025386
EDGE_000972,-0.009954
EDGE_000973,0.006047
EDGE_000974,-0.003125
EDGE_000975,-0.007985
EDGE_000976,0.025011
EDGE_000977,-0.013244
EDGE_000978,0.010763
EDGE_000979,-0.009595
EDGE_000980,0.025386
EDGE_000981,-0.003609
EDGE_000982,0.010356
EDGE_000983,0.000000
EDGE_000984,0.002962
EDGE_000985,-0.036121
EDGE_000986,0.030415
EDGE_000987,-0.059199
EDGE_000988,-0.010086
EDGE_000989,0.005015
EDGE_000990,-0.000640
EDGE_000991,0.020404
EDGE_000992,-0.016205
EDGE_000993,0.004328
EDGE_000994,0.002613
EDGE_000995,0.000780
EDGE_000996,-0.035597
EDGE_000997,-0.016069
EDGE_000998,0.029969
EDGE_000999,-0.020807
EDGE_001000,-0.000477
EDGE_001001,0.000000
EDGE_001002,-0.004691
EDGE_001003,0.000000
EDGE_001004,0.031019
EDGE_001005,-0.016997
EDGE_001006,0.028184
EDGE_001007,0.100036
EDGE_001008,-0.031019
EDGE_001009,-0.051311
EDGE_001010,0.025255
EDGE_001011,-0.004489
EDGE_001012,0.016997
EDGE_001013,-0.028230
EDGE_001014,-0.025255
EDGE_001015,0.051311
EDGE_001016,0.046436
EDGE_001017,-0.014355
EDGE_001018,0.000684
EDGE_001019,0.009782
EDGE_001020,-0.011394
EDGE_001021,-0.010433
EDGE_001022,0.066252
EDGE_001023,0.009705
EDGE_001024,-0.028184
EDGE_001025,-0.066252
EDGE_001026,0.008705
EDGE_001027,-0.005976
EDGE_001028,-0.000791
EDGE_001029,0.000000
EDGE_001030,0.006322
EDGE_001031,0.021359
EDGE_001032,0.000000
EDGE_001033,-0.024189
EDGE_001034,-0.011757
EDGE_001035,0.050202
EDGE_001036,0.028230
EDGE_001037,-0.002741
EDGE_001038,0.014039
EDGE_001039,0.004489
EDGE_001040,-0.052475
EDGE_001041,-0.042898
EDGE_001042,0.021329
EDGE_001043,0.032881
EDGE_001044,-0.042510
EDGE_001045,0.040816
EDGE_001046,0.036901
EDGE_001047,0.057108
EDGE_001048,0.053750
EDGE_001049,0.010057
EDGE_001050,-0.017945
EDGE_001051,-0.025721
EDGE_001052,0.000849
