세그먼트ID,도로명,도로유형,중심위도,중심경도,난이도점수,난이도등급,사고율점수,도로형태점수,도로규모점수,교차로점수,교통량점수,설명
SEG_000023,개포로,tertiary,37.47863238571428,127.046497,31.2,보통,0.0,50,50,25,40,집산도로
SEG_000024,광나루로,primary,37.54004213333334,127.0972648333333,37.5,보통,0.0,40,30,50,70,"주간선도로, 넓은 도로, 복잡한 교차로, 교통량 많음"
SEG_000025,강동대로,primary,37.5376832,127.10011185,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000026,구의강변로,tertiary,37.53313188571428,127.0917193285714,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000027,성덕정길,tertiary,37.53650639090909,127.0588691181818,29.0,쉬움,0.0,50,50,10,40,집산도로
SEG_000028,성덕정길,tertiary,37.53696159090909,127.0562001181818,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000029,성덕정길,tertiary,37.53759738181818,127.0540059090909,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000030,성덕정길,tertiary,37.53804151818181,127.0510911545455,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000031,성덕정길,tertiary,37.53896227272728,127.0473217636364,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000032,성덕정길,tertiary,37.540006,127.0439943,29.0,쉬움,0.0,50,50,10,40,집산도로
SEG_000033,구의로,tertiary,37.5378971,127.0891524,41.0,보통,0.0,50,50,90,40,"집산도로, 복잡한 교차로"
SEG_000034,논현로,primary,37.4714592,127.05114305,45.0,보통,0.0,40,30,100,70,"주간선도로, 넓은 도로, 복잡한 교차로, 교통량 많음"
SEG_000035,개포로109길,residential,37.494233,127.0773896727273,40.2,보통,0.0,65,70,70,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000036,개포로109길,residential,37.49286788571429,127.0761364,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000037,도곡로,secondary,37.50040719090909,127.0656029909091,28.8,쉬움,0.0,45,40,0,55,보조간선도로
SEG_000038,도곡로,secondary,37.49893195,127.0609903,43.8,보통,0.0,45,40,100,55,"보조간선도로, 복잡한 교차로"
SEG_000039,논현로,primary,37.53542495,127.021537,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000040,뚝섬로,secondary,37.53197007272727,127.0798754727273,33.2,보통,0.0,45,40,30,55,보조간선도로
SEG_000041,뚝섬로,secondary,37.53281788571429,127.0769653,28.8,쉬움,0.0,45,40,0,55,보조간선도로
SEG_000042,마방로,tertiary,37.47424799090909,127.0400452818182,38.0,보통,0.0,50,50,70,40,"집산도로, 복잡한 교차로"
SEG_000043,마방로,tertiary,37.47768097142858,127.0435445428572,38.8,보통,0.0,50,50,75,40,"집산도로, 복잡한 교차로"
SEG_000044,남부순환로378길,tertiary,37.48437571666667,127.0468355666667,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000045,봉은사로113길,tertiary_link,37.51611462222223,127.0661358444444,28.0,쉬움,0.0,55,55,0,35,tertiary_link
SEG_000046,바우뫼로,tertiary,37.47428835454545,127.0317712272727,30.5,보통,0.0,50,50,20,40,집산도로
SEG_000047,바우뫼로,tertiary,37.47649368181818,127.0361741636364,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000048,바우뫼로,tertiary,37.47807295,127.03843555,42.5,보통,0.0,50,50,100,40,"집산도로, 복잡한 교차로"
SEG_000049,논현로28길,tertiary,37.48344461818181,127.0444180272727,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000050,논현로28길,tertiary,37.48477546666667,127.0461678333333,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000051,도곡로7길,residential,37.4916288,127.03458782,31.2,보통,0.0,65,70,10,25,"주거지역 도로, 좁은 도로"
SEG_000052,성수이로,tertiary,37.538165275,127.0545833,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000053,자양번영로,tertiary,37.53518822727273,127.0762753090909,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000054,자양번영로,tertiary,37.53725491666666,127.0768886166667,32.0,보통,0.0,50,50,30,40,집산도로
SEG_000055,비우뫼로15길,tertiary,37.47678514545454,127.0289998363636,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000056,비우뫼로15길,tertiary,37.4827653,127.02757295,32.0,보통,0.0,50,50,30,40,집산도로
SEG_000057,광나루로,primary,37.53870004,127.09901104,37.5,보통,0.0,40,30,50,70,"주간선도로, 넓은 도로, 복잡한 교차로, 교통량 많음"
SEG_000058,한가람로,tertiary,37.5166258,127.07746355,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000059,왕십리로,primary,37.539703275,127.043749525,31.5,보통,0.0,40,30,10,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000060,일원로,tertiary,37.4842273,127.0836359,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000061,이름없음,residential,37.52837715,127.09912515,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000062,바우뫼로12길,tertiary,37.46870348571429,127.0336443142857,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000063,도곡로62길,residential,37.50288380909091,127.0808310090909,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000064,도곡로62길,residential,37.5041781,127.076915725,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000065,테헤란로115길,tertiary,37.51540285,127.0665864,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000066,역삼로7길,residential,37.49465502,127.0331397,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000067,개포로88길,residential,37.48822235454546,127.0697895454546,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000068,개포로110길,residential,37.49180945555556,127.076624,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000069,압구정로10길,residential,37.52203562727272,127.0220009909091,39.5,보통,0.0,65,70,65,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000070,압구정로10길,residential,37.52369275,127.02173755,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000071,압구정로2길,residential,37.51989359090909,127.0202594636364,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000072,도산대로1길,residential,37.52014486363636,127.0194205545455,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000073,도산대로1길,residential,37.5174219,127.0201126166667,35.8,보통,0.0,65,70,40,25,"주거지역 도로, 좁은 도로"
SEG_000074,강남대로156길,residential,37.51846133333333,127.0208242444444,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000075,강남대로162길,residential,37.52035628888889,127.0206968222222,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000076,압구정로8길,residential,37.52281312,127.02153906,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000077,논현로175길,residential,37.52546697272727,127.0264005636364,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000078,논현로175길,residential,37.52380700909091,127.0231177545454,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000079,논현로175길,residential,37.52254215,127.02066175,43.2,보통,0.0,65,70,90,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000080,도산대로25길,residential,37.52102009,127.02706318,68.2,어려움,100.0,65,70,90,25,"주거지역 도로, 사고다발구간, 좁은 도로, 복잡한 교차로"
SEG_000081,압구정로20길,residential,37.52491495,127.0239565,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000082,논현로161길,residential,37.5231555,127.0255665636364,38.8,보통,0.0,65,70,60,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000083,논현로161길,residential,37.522320025,127.023613475,39.5,보통,0.0,65,70,65,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000084,압구정로28길,residential,37.52499771818182,127.0276296454545,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000085,압구정로28길,residential,37.52658015,127.02742805,53.6,보통,35.5,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000086,압구정로14길,residential,37.5217716,127.023506425,39.5,보통,0.0,65,70,65,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000087,언주로134길,residential,37.51665226,127.03622114,46.6,보통,37.5,65,70,50,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000088,남부순환로,primary,37.4925731,127.0973112,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000089,바우뫼로6길,residential,37.46930266,127.0267872,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000090,영동대로,primary,37.5200216,127.05691275,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000091,삼성로,secondary,37.50049524545455,127.0601278727273,43.8,보통,0.0,45,40,100,55,"보조간선도로, 복잡한 교차로"
SEG_000092,삼성로,secondary,37.504162,127.0581634818182,39.1,보통,41.6,45,40,0,55,보조간선도로
SEG_000093,삼성로,secondary,37.50930421,127.05526501,49.5,보통,47.2,45,40,60,55,"보조간선도로, 복잡한 교차로"
SEG_000094,봉은사로,primary,37.515691,127.06964805,33.0,보통,0.0,40,30,20,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000095,봉은사로,primary,37.5156302,127.068192,31.5,보통,0.0,40,30,10,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000096,봉은사로,primary,37.515783875,127.069721575,33.0,보통,0.0,40,30,20,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000097,봉은사로,primary,37.51539303333333,127.0667088666667,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000098,이름없음,service,37.51428175,127.0561712833333,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000099,영동대로115길,residential,37.51490486666666,127.0588858833333,40.2,보통,41.9,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000100,봉은사로99길,residential,37.5144594,127.05942395,40.2,보통,41.9,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000101,영동대로129길,residential,37.51836496666667,127.0554778,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000102,삼성로120길,service,37.5183753,127.0545047,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000103,삼성로126길,residential,37.51773206666667,127.0519298333333,38.8,보통,36.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000104,학동로88길,residential,37.51858808333333,127.0528664166667,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000105,학동로82길,residential,37.51842565,127.05215395,35.0,보통,0.0,65,70,35,25,"주거지역 도로, 좁은 도로"
SEG_000106,삼성로120길,residential,37.5165247,127.0532509,38.8,보통,36.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000107,삼성로120길,residential,37.51673182,127.05358898,38.8,보통,36.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000108,봉은사로81길,residential,37.513997,127.0537686333333,46.3,보통,36.1,65,70,50,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000109,이름없음,residential,37.513827825,127.0544988,37.2,보통,0.0,65,70,50,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000110,삼성로120길,service,37.51689635,127.05404195,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000111,삼성로122길,residential,37.51820128333333,127.0548241833333,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000112,학동로98길,residential,37.51940615,127.0560323,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000113,삼성로118길,residential,37.51560816,127.05280472,38.8,보통,36.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000114,삼성로112길,residential,37.51590785,127.0531038,38.8,보통,36.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000115,삼성로112길,service,37.516211,127.05317655,40.0,보통,36.1,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000116,삼성로120길,residential,37.5174013,127.0529652444444,38.8,보통,36.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000117,학동로82길,residential,37.517384525,127.051911425,38.8,보통,36.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000118,영동대로129길,residential,37.51830833333333,127.0559294333333,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000119,삼성로120길,residential,37.5179117,127.05405165,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000120,이름없음,trunk_link,37.5241672090909,127.0175849818182,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000121,이름없음,trunk_link,37.526757225,127.020480875,44.5,보통,0.0,65,25,60,75,"고속도로 연결로, 넓은 도로, 복잡한 교차로, 교통량 많음"
SEG_000122,압구정로4길,residential,37.52216188333333,127.0210815833333,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000123,논현로175길,residential,37.5225092,127.02118495,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000124,논현로175길,residential,37.5221363,127.0204406,31.2,보통,0.0,65,70,10,25,"주거지역 도로, 좁은 도로"
SEG_000125,강남대로162길,residential,37.5208645,127.0204875333333,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000126,강남대로162길,service,37.5210675,127.02101455,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000127,압구정로18길,service,37.5237315,127.02430585,46.0,보통,0.0,70,80,100,20,"서비스 도로, 좁은 도로, 복잡한 교차로"
SEG_000128,압구정로4길,residential,37.521887175,127.020361375,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000129,강남대로162길,residential,37.5214681,127.02138395,36.5,보통,0.0,65,70,45,25,"주거지역 도로, 좁은 도로"
SEG_000130,삼성로145길,residential,37.52239808,127.04725064,47.5,보통,71.1,65,70,0,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000131,삼성로149길,residential,37.5230254,127.0472753,56.5,보통,71.1,65,70,60,25,"주거지역 도로, 사고다발구간, 좁은 도로, 복잡한 교차로"
SEG_000132,이름없음,service,37.5220782,127.0454513,48.8,보통,71.1,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000133,삼성로147길,service,37.5219369,127.0468209,48.8,보통,71.1,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000134,삼성로145길,service,37.52221865,127.04703995,48.8,보통,71.1,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000135,도산대로78길,residential,37.52184898,127.04640892,47.5,보통,71.1,65,70,0,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000136,도산대로72길,residential,37.523251,127.0456725857143,55.0,보통,71.1,65,70,50,25,"주거지역 도로, 사고다발구간, 좁은 도로, 복잡한 교차로"
SEG_000137,삼성로149길,service,37.5230152,127.04647876,56.3,보통,71.1,70,80,50,20,"서비스 도로, 사고다발구간, 좁은 도로, 복잡한 교차로"
SEG_000138,도산대로78길,residential,37.52316241666667,127.0469301,61.0,어려움,71.1,65,70,90,25,"주거지역 도로, 사고다발구간, 좁은 도로, 복잡한 교차로"
SEG_000139,이름없음,service,37.52364665,127.04636895,63.8,어려움,71.1,70,80,100,20,"서비스 도로, 사고다발구간, 좁은 도로, 복잡한 교차로"
SEG_000140,학동로67길,residential,37.51942097,127.04665133,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000141,도산대로72길,residential,37.52185144,127.04581594,47.5,보통,71.1,65,70,0,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000142,학동로59길,service,37.52027510000001,127.04418065,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000143,학동로59길,service,37.5198865,127.04407265,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000144,학동로59길,service,37.51949145,127.0439657,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000145,삼성로147길,residential,37.52048283333333,127.0453769555556,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000146,이름없음,service,37.5209347,127.04553102,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000147,도산대로70길,residential,37.5217719625,127.04505045,47.5,보통,71.1,65,70,0,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000148,도산대로,service,37.5230114,127.0406135333333,46.0,보통,0.0,70,80,100,20,"서비스 도로, 좁은 도로, 복잡한 교차로"
SEG_000149,도산대로66길,residential,37.52087834,127.04383592,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000150,도산대로68길,service,37.52098,127.0443287666666,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000151,도산대로68길,residential,37.5230250375,127.044687525,53.5,보통,71.1,65,70,40,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000152,도산대로70길,service,37.52219,127.0449941666666,48.8,보통,71.1,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000153,선릉로148길,residential,37.522303825,127.043821275,49.0,보통,71.1,65,70,10,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000154,선릉로146길,residential,37.52230775,127.04222295,34.2,보통,0.0,65,70,30,25,"주거지역 도로, 좁은 도로"
SEG_000155,이름없음,service,37.522315875,127.044440875,48.8,보통,71.1,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000156,도산대로58길,residential,37.52279757,127.04144515,40.2,보통,0.0,65,70,70,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000157,도산대로56길,residential,37.5226793,127.040196475,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000158,삼성로149길,residential,37.5232711375,127.04630705,58.0,보통,71.1,65,70,70,25,"주거지역 도로, 사고다발구간, 좁은 도로, 복잡한 교차로"
SEG_000159,선릉로146길,residential,37.52163336363637,127.0434050727273,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000160,선릉로146길,residential,37.521854975,127.040670925,31.2,보통,0.0,65,70,10,25,"주거지역 도로, 좁은 도로"
SEG_000161,도산대로62길,residential,37.5229657625,127.0430496375,37.2,보통,0.0,65,70,50,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000162,선릉로148길,service,37.52229276666667,127.0434164333333,32.5,보통,0.0,70,80,10,20,"서비스 도로, 좁은 도로"
SEG_000163,이름없음,service,37.52228156666666,127.0434126666667,32.5,보통,0.0,70,80,10,20,"서비스 도로, 좁은 도로"
SEG_000164,강남대로160길,residential,37.51985686,127.02091327,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000165,강남대로160길,service,37.5204079,127.02139665,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000166,올림픽대로,trunk,37.51333705454545,127.0044817545454,33.0,보통,0.0,50,20,0,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000167,올림픽대로,trunk,37.52328936363637,127.0159387727273,33.0,보통,0.0,50,20,0,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000168,올림픽대로,trunk,37.52937035454546,127.0224804272727,39.0,보통,0.0,50,20,40,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000169,올림픽대로,trunk,37.5335901,127.0272891181818,34.5,보통,0.0,50,20,10,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000170,올림픽대로,trunk,37.53260891818181,127.0353399727273,34.5,보통,0.0,50,20,10,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000171,올림픽대로,trunk,37.52860389090909,127.0502354909091,36.0,보통,0.0,50,20,20,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000172,올림픽대로,trunk,37.52625709090909,127.0552245545455,34.5,보통,0.0,50,20,10,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000173,올림픽대로,trunk,37.52280057272728,127.0601009,33.0,보통,0.0,50,20,0,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000174,올림픽대로,trunk,37.51967564,127.06369748,33.0,보통,0.0,50,20,0,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000175,동일로,primary,37.54097605,127.0632338166667,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000176,영동대로,primary,37.52811310000001,127.0561267666666,31.5,보통,0.0,40,30,10,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000177,이름없음,trunk_link,37.52616123636364,127.0561230727273,37.0,보통,0.0,65,25,10,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000178,이름없음,trunk_link,37.52718435454545,127.0558251909091,37.0,보통,0.0,65,25,10,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000179,이름없음,trunk_link,37.52582205714286,127.0554120428571,38.5,보통,0.0,65,25,20,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000180,이름없음,trunk_link,37.52466651818182,127.0550657,38.5,보통,0.0,65,25,20,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000181,이름없음,trunk_link,37.52542516363636,127.0556320545455,38.5,보통,0.0,65,25,20,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000182,이름없음,trunk_link,37.52449912,127.05732818,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000183,이름없음,trunk_link,37.52560188,127.05567954,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000184,이름없음,trunk_link,37.52489134545454,127.0568023,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000185,이름없음,trunk_link,37.52500966363636,127.0573220727273,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000186,이름없음,trunk_link,37.52563478,127.05674648,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000187,이름없음,trunk_link,37.52681608,127.05445322,38.5,보통,0.0,65,25,20,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000188,이름없음,primary_link,37.52536117142857,127.0541745571428,35.5,보통,0.0,55,35,20,65,"간선도로 연결로, 교통량 많음"
SEG_000189,이름없음,trunk_link,37.5249798,127.05741556,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000190,압구정로79길,residential,37.52612516666667,127.0520855666667,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000191,압구정로79길,service,37.52579216666667,127.0513879333333,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000192,도산대로101길,residential,37.5265162,127.05239695,31.2,보통,0.0,65,70,10,25,"주거지역 도로, 좁은 도로"
SEG_000193,선릉로189길,residential,37.53129449,127.03884476,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000194,도산대로89길,residential,37.52635515454545,127.0517028363636,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000195,도산대로89길,residential,37.52473396666667,127.0501276,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000196,압구정로79길,service,37.526412,127.0540886333333,34.0,보통,0.0,70,80,20,20,"서비스 도로, 좁은 도로"
