"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭","--- WORK_DTTM"
"86","가마산로12가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.637"
"87","가마산로12길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.637"
"88","가마산로15가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.637"
"89","가마산로15길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.637"
"90","가마산로19길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.637"
"91","가마산로20가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.642"
"92","가마산로20길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.642"
"93","가마산로20나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.642"
"94","가마산로20다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.642"
"95","가마산로20라길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.642"
"96","가마산로21길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.642"
"97","가마산로22길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.642"
"98","가마산로23길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:01.642"
"99","가마산로25길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:01.642"
"100","가마산로26길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.642"
"101","가마산로27길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:01.647"
"102","가마산로2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.647"
"103","가마산로31길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.647"
"104","가마산로32가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.647"
"105","가마산로32길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:01.647"
"106","가마산로34길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.647"
"107","가마산로41길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:01.647"
"108","가마산로45길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.647"
"109","가마산로46가길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:01.647"
"110","가마산로46길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.647"
"111","가마산로47길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:01.652"
"112","가마산로48길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.652"
"113","가마산로49길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.652"
"114","가마산로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.652"
"115","가마산로50길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.652"
"116","가마산로51길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.652"
"117","가마산로54길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.652"
"118","가마산로56길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.652"
"119","가마산로5가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.652"
"120","가마산로5길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.652"
"121","가마산로61가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.657"
"122","가마산로61길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.657"
"123","가마산로61나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.657"
"124","가마산로61다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.657"
"125","가마산로61라길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.657"
"126","가마산로63길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.657"
"127","가마산로65길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.657"
"128","가마산로67길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.657"
"129","가마산로69가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.657"
"130","가마산로69길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.657"
"131","가마산로71길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.661"
"132","가마산로77길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.661"
"133","가마산로79길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:01.661"
"134","가마산로7길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.661"
"135","가마산로88길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.661"
"136","가마산로89길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.661"
"137","가마산로90길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.661"
"138","가마산로9길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.661"
"139","가산디지털1로","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:01.661"
"140","가산디지털2로","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:01.661"
"141","가산로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.666"
"142","가산로3가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.666"
"143","가산로3길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.666"
"144","가산로5길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.666"
"145","가산로7길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.666"
"146","가산로9길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:01.666"
"147","가양~현저선","일반도로","주간선도로","대로1류","폭35-40m","2026-01-22 11:18:01.666"
"148","가양대로","일반도로","국지도로","확인","불가","2026-01-22 11:18:01.666"
"149","가재울로","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.666"
"150","가재울로10길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.666"
"151","가재울로12길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.671"
"152","가재울로14길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.671"
"153","가재울로2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.671"
"154","가재울로2안길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.671"
"155","가재울로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.671"
"156","가재울로6길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.671"
"157","가재울로8길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.671"
"158","가재울미래로","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:01.671"
"159","가좌로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.671"
"160","가좌로10길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.671"
"161","가좌로11가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.676"
"162","가좌로11길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.676"
"163","가좌로11나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.676"
"164","가좌로12길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.676"
"165","가좌로2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.676"
"166","가좌로2안길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.676"
"167","가좌로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.676"
"168","가좌로5길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.676"
"169","가좌로6길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.676"
"170","가좌로7가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.676"
"171","가좌로7길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.681"
"172","가좌로7나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.681"
"173","가좌로7다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.681"
"174","가좌로7라길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.681"
"175","가좌로9길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.681"
"176","간호대로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.681"
"177","간호대로1길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.681"
"178","간호대로2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.681"
"179","간호대로3길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.681"
"180","간호대로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.681"
"181","갈월~동자동선","일반도로","보조간선도로","중로2류","폭15-20m","2026-01-22 11:18:01.686"
"182","갈현~적선선","일반도로","주간선도로","대로2류","폭30-35m","2026-01-22 11:18:01.686"
"183","갈현로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.686"
"184","갈현로11가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.686"
"185","갈현로11길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.686"
"186","갈현로12길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.686"
"187","갈현로14길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.686"
"188","갈현로15길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.686"
"189","갈현로16길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.686"
"190","갈현로17가길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.686"
"191","갈현로17길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.691"
"192","갈현로17나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.691"
"193","갈현로19길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.691"
"194","갈현로1길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.691"
"195","갈현로21길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.691"
"196","갈현로23길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.691"
"197","갈현로25길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.691"
"198","갈현로27길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.691"
"199","갈현로29길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.691"
"200","갈현로2가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.691"
"201","갈현로2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.696"
"202","갈현로31길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.696"
"203","갈현로33가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.696"
"204","갈현로33길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.696"
"205","갈현로35길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.696"
"206","갈현로36길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.696"
"207","갈현로37가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.696"
"208","갈현로37길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.696"
"209","갈현로39가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.696"
"210","갈현로39길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.696"
"211","갈현로3가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.701"
"212","갈현로3길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.701"
"213","갈현로3나길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.701"
"214","갈현로3다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.701"
"215","갈현로41가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.701"
"216","갈현로41길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.701"
"217","갈현로41나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.701"
"218","갈현로41다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.701"
"219","갈현로43길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.701"
"220","갈현로45가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.701"
"221","갈현로45길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.706"
"222","갈현로45나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.706"
"223","갈현로47가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.706"
"224","갈현로47길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.706"
"225","갈현로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.706"
"226","갈현로5길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.706"
"227","갈현로7가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.706"
"228","갈현로7길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.706"
"229","갈현로9길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.706"
"230","감이남로","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.707"
"231","감이천자전거길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.711"
"232","감일남로","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.712"
"233","감초로","일반도로","국지도로","확인","불가","2026-01-22 11:18:01.712"
"234","강남대로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.712"
"235","강남대로100길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.712"
"236","강남대로101길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.712"
"237","강남대로101안길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.712"
"238","강남대로102길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.712"
"239","강남대로105길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.712"
"240","강남대로106길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.712"
"241","강남대로107길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.717"
"242","강남대로109길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.717"
"243","강남대로10길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.717"
"244","강남대로110길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.717"
"245","강남대로112길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.717"
"246","강남대로114길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.717"
"247","강남대로116길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.717"
"248","강남대로118길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.717"
"249","강남대로120길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.717"
"250","강남대로122길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.717"
"251","강남대로124길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.722"
"252","강남대로126길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.722"
"253","강남대로128길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.722"
"254","강남대로12길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.722"
"255","강남대로130길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.722"
"256","강남대로132길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.722"
"257","강남대로136길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.722"
"258","강남대로140길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.722"
"259","강남대로146길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.722"
"260","강남대로150길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.722"
"261","강남대로152길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.727"
"262","강남대로154길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.727"
"263","강남대로156길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.727"
"264","강남대로158길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.727"
"265","강남대로160길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.727"
"266","강남대로162길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.727"
"267","강남대로16길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.727"
"268","강남대로18길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.727"
"269","강남대로23길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.727"
"270","강남대로25길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.727"
"271","강남대로27길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.732"
"272","강남대로2길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.732"
"273","강남대로30길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.732"
"274","강남대로34길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.732"
"275","강남대로37길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.732"
"276","강남대로39길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.732"
"277","강남대로41길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.732"
"278","강남대로42길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.732"
"279","강남대로43길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.732"
"280","강남대로44길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.732"
"281","강남대로45길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.737"
"282","강남대로47길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.737"
"283","강남대로48길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.737"
"284","강남대로49길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.737"
"285","강남대로4길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.737"
"286","강남대로51길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.737"
"287","강남대로53길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:01.737"
"288","강남대로54길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.737"
"289","강남대로55길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:01.737"
"290","강남대로58길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.737"
"291","강남대로61길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:01.742"
"292","강남대로62길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.742"
"293","강남대로65길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.742"
"294","강남대로66길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.742"
"295","강남대로69길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.742"
"296","강남대로6길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.742"
"297","강남대로78길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.742"
"298","강남대로79길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:01.742"
"299","강남대로83길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.742"
"300","강남대로84길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.742"
"301","강남대로85길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.747"
"302","강남대로89길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.747"
"303","강남대로8길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.747"
"304","강남대로91길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:01.747"
"305","강남대로92길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.747"
"306","강남대로93길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.747"
"307","강남대로94길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:01.747"
